AREA FIGURES FOR NEW HAMPSHIRE,,,,,,,
"Source: NH GRANIT system; compiled at NH Office of Strategic Initiatives, May 2021",,,,,,,
,,,,,,,
County,Municipality,Total acres,Total sq. miles,Land acres,Land sq. miles,Water acres,Water sq. miles
Belknap,Alton,53230.50,83.17,40636.10,63.49,12594.40,19.68
Belknap,Barnstead,28758.70,44.94,27215.21,42.52,1543.49,2.41
Belknap,Belmont,20427.60,31.92,19190.38,29.98,1237.22,1.93
Belknap,Center Harbor,10394.40,16.24,8498.05,13.28,1896.35,2.96
Belknap,Gilford,34243.70,53.51,24786.22,38.73,9457.48,14.78
Belknap,Gilmanton,38127.10,59.57,36741.99,57.41,1385.11,2.16
Belknap,Laconia,16712.30,26.11,12720.53,19.88,3991.77,6.24
Belknap,Meredith,34919.70,54.56,25654.06,40.08,9265.64,14.48
Belknap,New Hampton,24560.00,38.38,23541.61,36.78,1018.39,1.59
Belknap,Sanbornton,31774.40,49.65,30335.99,47.40,1438.41,2.25
Belknap,Tilton,7637.79,11.93,7123.49,11.13,514.31,0.80
Carroll,Albany,48475.50,75.74,48063.40,75.10,412.10,0.64
Carroll,Bartlett,47882.40,74.82,47556.25,74.31,326.15,0.51
Carroll,Brookfield,14880.30,23.25,14586.65,22.79,293.65,0.46
Carroll,Chatham,36639.00,57.25,36286.29,56.70,352.71,0.55
Carroll,Conway,45881.10,71.69,44391.45,69.36,1489.65,2.33
Carroll,Eaton,16383.00,25.60,15553.28,24.30,829.72,1.30
Carroll,Effingham,25555.90,39.93,24819.16,38.78,736.75,1.15
Carroll,Freedom,24261.90,37.91,22039.22,34.44,2222.68,3.47
Carroll,Hale's Location,1599.77,2.50,1599.77,2.50,0.00,0.00
Carroll,Hart's Location,12302.40,19.22,12233.71,19.12,68.69,0.11
Carroll,Jackson,42758.10,66.81,42728.11,66.76,29.99,0.05
Carroll,Madison,26157.30,40.87,24642.49,38.50,1514.81,2.37
Carroll,Moultonborough,48048.30,75.08,38184.20,59.66,9864.10,15.41
Carroll,Ossipee,48168.40,75.26,45041.29,70.38,3127.11,4.89
Carroll,Sandwich,60250.90,94.14,58113.05,90.80,2137.85,3.34
Carroll,Tamworth,38812.50,60.64,38079.99,59.50,732.51,1.14
Carroll,Tuftonboro,31638.60,49.44,25928.88,40.51,5709.72,8.92
Carroll,Wakefield,28717.10,44.87,25260.27,39.47,3456.83,5.40
Carroll,Wolfeboro,37405.50,58.45,30697.76,47.97,6707.74,10.48
Cheshire,Alstead,25210.90,39.39,24805.56,38.76,405.34,0.63
Cheshire,Chesterfield,30427.80,47.54,29107.75,45.48,1320.05,2.06
Cheshire,Dublin,18553.10,28.99,17901.99,27.97,651.11,1.02
Cheshire,Fitzwilliam,23059.80,36.03,22161.57,34.63,898.23,1.40
Cheshire,Gilsum,10681.90,16.69,10599.69,16.56,82.21,0.13
Cheshire,Harrisville,12945.50,20.23,11986.74,18.73,958.76,1.50
Cheshire,Hinsdale,14497.20,22.65,13006.64,20.32,1490.56,2.33
Cheshire,Jaffrey,25708.50,40.17,24518.35,38.31,1190.15,1.86
Cheshire,Keene,23867.40,37.29,23574.61,36.84,292.79,0.46
Cheshire,Marlborough,13212.10,20.64,13062.25,20.41,149.85,0.23
Cheshire,Marlow,16921.60,26.44,16481.88,25.75,439.72,0.69
Cheshire,Nelson,14898.20,23.28,14034.70,21.93,863.50,1.35
Cheshire,Richmond,24152.30,37.74,24016.57,37.53,135.73,0.21
Cheshire,Rindge,25468.90,39.80,23670.23,36.98,1798.67,2.81
Cheshire,Roxbury,7844.84,12.26,7663.95,11.97,180.90,0.28
Cheshire,Stoddard,33949.90,53.05,32375.35,50.59,1574.55,2.46
Cheshire,Sullivan,11984.90,18.73,11832.83,18.49,152.07,0.24
Cheshire,Surry,10240.90,16.00,9907.39,15.48,333.51,0.52
Cheshire,Swanzey,29011.70,45.33,28508.83,44.55,502.88,0.79
Cheshire,Troy,11274.20,17.62,11169.76,17.45,104.44,0.16
Cheshire,Walpole,23469.50,36.67,22548.01,35.23,921.49,1.44
Cheshire,Westmoreland,23577.50,36.84,22922.85,35.82,654.65,1.02
Cheshire,Winchester,35555.70,55.56,34948.47,54.61,607.23,0.95
Coos,Atkinson & Gilmanton,12351.30,19.30,12273.99,19.18,77.31,0.12
Coos,Bean's Grant,6182.68,9.66,6182.68,9.66,0.00,0.00
Coos,Bean's Purchase,41787.70,65.29,41745.34,65.23,42.36,0.07
Coos,Berlin,39805.70,62.20,39254.86,61.34,550.84,0.86
Coos,Cambridge,33098.80,51.72,32619.89,50.97,478.91,0.75
Coos,Carroll,32187.50,50.29,32070.36,50.11,117.15,0.18
Coos,Chandler's Purchase,1360.69,2.13,1360.69,2.13,0.00,0.00
Coos,Clarksville,39915.90,62.37,38608.67,60.33,1307.23,2.04
Coos,Colebrook,26106.60,40.79,25922.84,40.50,183.77,0.29
Coos,Columbia,39220.10,61.28,38918.82,60.81,301.28,0.47
Coos,Crawford's Purchase,5242.86,8.19,5241.33,8.19,1.53,0.00
Coos,Cutt's Grant,7218.74,11.28,7218.74,11.28,0.00,0.00
Coos,Dalton,18104.30,28.29,17609.24,27.51,495.06,0.77
Coos,Dix's Grant,12843.60,20.07,12816.29,20.03,27.31,0.04
Coos,Dixville,31455.20,49.15,31344.57,48.98,110.63,0.17
Coos,Dummer,31461.30,49.16,30592.42,47.80,868.88,1.36
Coos,Errol,44443.00,69.44,38719.68,60.50,5723.32,8.94
Coos,Erving's Location,2401.71,3.75,2401.71,3.75,0.00,0.00
Coos,Gorham,20675.50,32.31,20382.65,31.85,292.85,0.46
Coos,Green's Grant,2348.39,3.67,1947.08,3.04,401.31,0.63
Coos,Hadley's Purchase,4740.44,7.41,4740.44,7.41,0.00,0.00
Coos,Jefferson,32206.70,50.32,31991.89,49.99,214.81,0.34
Coos,Kilkenny,16444.30,25.69,16431.75,25.67,12.55,0.02
Coos,Lancaster,32763.60,51.19,31993.51,49.99,770.09,1.20
Coos,Low & Burbanks Grant,16728.20,26.14,16727.87,26.14,0.33,0.00
Coos,Martin's Location,2403.24,3.76,2388.29,3.73,14.95,0.02
Coos,Milan,41247.10,64.45,40754.11,63.68,492.99,0.77
Coos,Millsfield,28937.80,45.22,28674.20,44.80,263.60,0.41
Coos,Northumberland,23558.90,36.81,22888.53,35.76,670.37,1.05
Coos,Odell,28806.90,45.01,28579.49,44.66,227.41,0.36
Coos,Pinkham's Grant,2431.22,3.80,2427.74,3.79,3.48,0.01
Coos,Pittsburg,186431.00,291.30,180079.10,281.37,6351.90,9.92
Coos,Randolph,30142.40,47.10,30104.52,47.04,37.88,0.06
Coos,Sargent's Purchase,16559.50,25.87,16558.55,25.87,0.95,0.00
Coos,Second College Grant,26773.90,41.83,26515.04,41.43,258.86,0.40
Coos,Shelburne,31211.70,48.77,30683.78,47.94,527.92,0.82
Coos,Stark,38221.80,59.72,37626.91,58.79,594.89,0.93
Coos,Stewartstown,30019.10,46.90,29594.52,46.24,424.58,0.66
Coos,Stratford,51231.50,80.05,50769.18,79.33,462.32,0.72
Coos,Success,36491.50,57.02,36160.24,56.50,331.26,0.52
Coos,Thompson & Meserve,11848.90,18.51,11848.59,18.51,0.31,0.00
Coos,Wentworth's Location,12326.10,19.26,11758.60,18.37,567.50,0.89
Coos,Whitefield,22231.90,34.74,21896.61,34.21,335.29,0.52
Grafton,Alexandria,27921.20,43.63,27770.44,43.39,150.76,0.24
Grafton,Ashland,7533.75,11.77,7193.08,11.24,340.67,0.53
Grafton,Bath,24684.10,38.57,24115.41,37.68,568.70,0.89
Grafton,Benton,31201.50,48.75,31055.69,48.52,145.81,0.23
Grafton,Bethlehem,58206.00,90.95,57979.74,90.59,226.26,0.35
Grafton,Bridgewater,13890.30,21.70,13735.77,21.46,154.53,0.24
Grafton,Bristol,14022.20,21.91,10717.88,16.75,3304.32,5.16
Grafton,Campton,33620.00,52.53,33218.36,51.90,401.64,0.63
Grafton,Canaan,35275.90,55.12,34026.53,53.17,1249.37,1.95
Grafton,Dorchester,28889.90,45.14,28496.80,44.53,393.10,0.61
Grafton,Easton,19934.00,31.15,19925.18,31.13,8.82,0.01
Grafton,Ellsworth,13781.20,21.53,13709.03,21.42,72.17,0.11
Grafton,Enfield,27615.60,43.15,25723.06,40.19,1892.54,2.96
