AREA FIGURES FOR NEW HAMPSHIRE,,,,,,,
"Source: NH GRANIT system; compiled at NH Office of Strategic Initiatives, May 2021",,,,,,,
,,,,,,,
,Municipality,Total acres,Total sq. miles,Land acres,Land sq. miles,Water acres,Water sq. miles
Belknap Co.,,,,,,,
,Alton,"53,230.50",83.17,"40,636.10",63.49,12594.4,19.68
,Barnstead,"28,758.70",44.94,"27,215.21",42.52,1543.49,2.41
,Belmont,"20,427.60",31.92,"19,190.38",29.98,1237.22,1.93
,Center Harbor,"10,394.40",16.24,"8,498.05",13.28,1896.35,2.96
,Gilford,"34,243.70",53.51,"24,786.22",38.73,9457.48,14.78
,Gilmanton,"38,127.10",59.57,"36,741.99",57.41,1385.11,2.16
,Laconia,"16,712.30",26.11,"12,720.53",19.88,3991.77,6.24
,Meredith,"34,919.70",54.56,"25,654.06",40.08,9265.64,14.48
,New Hampton,"24,560.00",38.38,"23,541.61",36.78,1018.39,1.59
,Sanbornton,"31,774.40",49.65,"30,335.99",47.4,1438.41,2.25
,Tilton,"7,637.79",11.93,"7,123.49",11.13,514.31,0.8
County Total,,"300,786.19",469.98,"256,443.63",400.69,"44,342.57",69.29
,,,,,,,
Carroll Co.,,,,,,,
,Albany,"48,475.50",75.74,"48,063.40",75.1,412.1,0.64
,Bartlett,"47,882.40",74.82,"47,556.25",74.31,326.15,0.51
,Brookfield,"14,880.30",23.25,"14,586.65",22.79,293.65,0.46
,Chatham,"36,639.00",57.25,"36,286.29",56.7,352.71,0.55
,Conway,"45,881.10",71.69,"44,391.45",69.36,1489.65,2.33
,Eaton,"16,383.00",25.6,"15,553.28",24.3,829.72,1.3
,Effingham,"25,555.90",39.93,"24,819.16",38.78,736.75,1.15
,Freedom,"24,261.90",37.91,"22,039.22",34.44,2222.68,3.47
,Hale's Location,"1,599.77",2.5,"1,599.77",2.5,0,0
,Hart's Location,"12,302.40",19.22,"12,233.71",19.12,68.69,0.11
,Jackson,"42,758.10",66.81,"42,728.11",66.76,29.99,0.05
,Madison,"26,157.30",40.87,"24,642.49",38.5,1514.81,2.37
,Moultonborough,"48,048.30",75.08,"38,184.20",59.66,9864.1,15.41
,Ossipee,"48,168.40",75.26,"45,041.29",70.38,3127.11,4.89
,Sandwich,"60,250.90",94.14,"58,113.05",90.8,2137.85,3.34
,Tamworth,"38,812.50",60.64,"38,079.99",59.5,732.51,1.14
,Tuftonboro,"31,638.60",49.44,"25,928.88",40.51,5709.72,8.92
,Wakefield,"28,717.10",44.87,"25,260.27",39.47,3456.83,5.4
,Wolfeboro,"37,405.50",58.45,"30,697.76",47.97,6707.74,10.48
County Total,,"635,817.97",993.47,"595,805.22",930.95,"40,012.75",62.52
,,,,,,,
Cheshire Co.,,,,,,,
,Alstead,"25,210.90",39.39,"24,805.56",38.76,405.34,0.63
,Chesterfield,"30,427.80",47.54,"29,107.75",45.48,1320.05,2.06
,Dublin,"18,553.10",28.99,"17,901.99",27.97,651.11,1.02
,Fitzwilliam,"23,059.80",36.03,"22,161.57",34.63,898.23,1.4
,Gilsum,"10,681.90",16.69,"10,599.69",16.56,82.21,0.13
,Harrisville,"12,945.50",20.23,"11,986.74",18.73,958.76,1.5
,Hinsdale,"14,497.20",22.65,"13,006.64",20.32,1490.56,2.33
,Jaffrey,"25,708.50",40.17,"24,518.35",38.31,1190.15,1.86
,Keene,"23,867.40",37.29,"23,574.61",36.84,292.79,0.46
,Marlborough,"13,212.10",20.64,"13,062.25",20.41,149.85,0.23
,Marlow,"16,921.60",26.44,"16,481.88",25.75,439.72,0.69
,Nelson,"14,898.20",23.28,"14,034.70",21.93,863.5,1.35
,Richmond,"24,152.30",37.74,"24,016.57",37.53,135.73,0.21
,Rindge,"25,468.90",39.8,"23,670.23",36.98,1798.67,2.81
,Roxbury,"7,844.84",12.26,"7,663.95",11.97,180.9,0.28
,Stoddard,"33,949.90",53.05,"32,375.35",50.59,1574.55,2.46
,Sullivan,"11,984.90",18.73,"11,832.83",18.49,152.07,0.24
,Surry,"10,240.90",16,"9,907.39",15.48,333.51,0.52
,Swanzey,"29,011.70",45.33,"28,508.83",44.55,502.88,0.79
,Troy,"11,274.20",17.62,"11,169.76",17.45,104.44,0.16
,Walpole,"23,469.50",36.67,"22,548.01",35.23,921.49,1.44
,Westmoreland,"23,577.50",36.84,"22,922.85",35.82,654.65,1.02
,Winchester,"35,555.70",55.56,"34,948.47",54.61,607.23,0.95
County Total,,"466,514.34",728.93,"450,805.96",704.38,"15,708.38",24.54
,,,,,,,
Coos Co.,,,,,,,
,Atkinson & Gilmanton,"12,351.30",19.3,"12,273.99",19.18,77.31,0.12
,Bean's Grant,"6,182.68",9.66,"6,182.68",9.66,0,0
,Bean's Purchase,"41,787.70",65.29,"41,745.34",65.23,42.36,0.07
,Berlin,"39,805.70",62.2,"39,254.86",61.34,550.84,0.86
,Cambridge,"33,098.80",51.72,"32,619.89",50.97,478.91,0.75
,Carroll,"32,187.50",50.29,"32,070.36",50.11,117.15,0.18
,Chandler's Purchase,"1,360.69",2.13,"1,360.69",2.13,0,0
,Clarksville,"39,915.90",62.37,"38,608.67",60.33,1307.23,2.04
,Colebrook,"26,106.60",40.79,"25,922.84",40.5,183.77,0.29
,Columbia,"39,220.10",61.28,"38,918.82",60.81,301.28,0.47
,Crawford's Purchase,"5,242.86",8.19,"5,241.33",8.19,1.53,0
,Cutt's Grant,"7,218.74",11.28,"7,218.74",11.28,0,0
,Dalton,"18,104.30",28.29,"17,609.24",27.51,495.06,0.77
,Dix's Grant,"12,843.60",20.07,"12,816.29",20.03,27.31,0.04
,Dixville,"31,455.20",49.15,"31,344.57",48.98,110.63,0.17
,Dummer,"31,461.30",49.16,"30,592.42",47.8,868.88,1.36
,Errol,"44,443.00",69.44,"38,719.68",60.5,5723.32,8.94
,Erving's Location,"2,401.71",3.75,"2,401.71",3.75,0,0
,Gorham,"20,675.50",32.31,"20,382.65",31.85,292.85,0.46
,Green's Grant,"2,348.39",3.67,"1,947.08",3.04,401.31,0.63
,Hadley's Purchase,"4,740.44",7.41,"4,740.44",7.41,0,0
,Jefferson,"32,206.70",50.32,"31,991.89",49.99,214.81,0.34
,Kilkenny,"16,444.30",25.69,"16,431.75",25.67,12.55,0.02
,Lancaster,"32,763.60",51.19,"31,993.51",49.99,770.09,1.2
,Low & Burbanks Grant,"16,728.20",26.14,"16,727.87",26.14,0.33,0
,Martin's Location,"2,403.24",3.76,"2,388.29",3.73,14.95,0.02
,Milan,"41,247.10",64.45,"40,754.11",63.68,492.99,0.77
,Millsfield,"28,937.80",45.22,"28,674.20",44.8,263.6,0.41
,Northumberland,"23,558.90",36.81,"22,888.53",35.76,670.37,1.05
,Odell,"28,806.90",45.01,"28,579.49",44.66,227.41,0.36
,Pinkham's Grant,"2,431.22",3.8,"2,427.74",3.79,3.48,0.01
,Pittsburg,"186,431.00",291.3,"180,079.10",281.37,6351.9,9.92
,Randolph,"30,142.40",47.1,"30,104.52",47.04,37.88,0.06
,Sargent's Purchase,"16,559.50",25.87,"16,558.55",25.87,0.95,0
,Second College Grant,"26,773.90",41.83,"26,515.04",41.43,258.86,0.4
,Shelburne,"31,211.70",48.77,"30,683.78",47.94,527.92,0.82
,Stark,"38,221.80",59.72,"37,626.91",58.79,594.89,0.93
,Stewartstown,"30,019.10",46.9,"29,594.52",46.24,424.58,0.66
,Stratford,"51,231.50",80.05,"50,769.18",79.33,462.32,0.72
,Success,"36,491.50",57.02,"36,160.24",56.5,331.26,0.52
,Thompson & Meserve,"11,848.90",18.51,"11,848.59",18.51,0.31,0
,Wentworth's Location,"12,326.10",19.26,"11,758.60",18.37,567.5,0.89
,Whitefield,"22,231.90",34.74,"21,896.61",34.21,335.29,0.52
County Total,,"1,171,969.27","1,831.20","1,148,425.32","1,794.41","23,543.95",36.79
,,,,,,,
Grafton Co.,,,,,,,
,Alexandria,"27,921.20",43.63,"27,770.44",43.39,150.76,0.24
,Ashland,"7,533.75",11.77,"7,193.08",11.24,340.67,0.53
,Bath,"24,684.10",38.57,"24,115.41",37.68,568.7,0.89
,Benton,"31,201.50",48.75,"31,055.69",48.52,145.81,0.23
,Bethlehem,"58,206.00",90.95,"57,979.74",90.59,226.26,0.35
,Bridgewater,"13,890.30",21.7,"13,735.77",21.46,154.53,0.24
,Bristol,"14,022.20",21.91,"10,717.88",16.75,3304.32,5.16
,Campton,"33,620.00",52.53,"33,218.36",51.9,401.64,0.63
,Canaan,"35,275.90",55.12,"34,026.53",53.17,1249.37,1.95
,Dorchester,"28,889.90",45.14,"28,496.80",44.53,393.1,0.61
,Easton,"19,934.00",31.15,"19,925.18",31.13,8.82,0.01
,Ellsworth,"13,781.20",21.53,"13,709.03",21.42,72.17,0.11
,Enfield,"27,615.60",43.15,"25,723.06",40.19,1892.54,2.96
,Franconia,"42,124.10",65.82,"42,032.19",65.68,91.91,0.14
,Grafton,"27,138.90",42.4,"26,574.41",41.52,564.5,0.88
,Groton,"26,085.20",40.76,"26,043.44",40.69,41.76,0.07
,Hanover,"32,087.10",50.14,"31,350.82",48.99,736.28,1.15
,Haverhill,"33,509.90",52.36,"32,666.31",51.04,843.59,1.32
,Hebron,"12,150.50",18.99,"10,710.50",16.74,1440,2.25
,Holderness,"22,970.30",35.89,"19,498.06",30.47,3472.24,5.43
,Landaff,"18,223.60",28.47,"18,139.22",28.34,84.38,0.13
,Lebanon,"26,415.20",41.27,"25,686.90",40.14,728.3,1.14
,Lincoln,"83,843.80",131.01,"83,528.41",130.51,315.39,0.49
,Lisbon,"17,065.60",26.67,"16,771.24",26.21,294.37,0.46
